Livro,Preco,Disponivel,Quantidade,Avaliacao,Categoria,UCP
A Light in the Attic,51.77,True,22,3,Poetry,a897fe39b1053632
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,True,19,4,Default,e10e1e165dc8be4a
Sharp Objects,47.82,True,20,4,Mystery,e00eb4fd7b871a48
The Requiem Red,22.65,True,19,1,Young Adult,f77dbf2323deb740
Sapiens: A Brief History of Humankind,54.23,True,20,5,History,4165285e1663650f
The Black Maria,52.15,True,19,1,Poetry,1dfe412b8ac00530
Soumission,50.10,True,20,1,Fiction,6957f44c3847a760
The Dirty Little Secrets of Getting Your Dream Job,33.34,True,19,4,Business,2597b5a345f45e1b
Tipping the Velvet,53.74,True,20,1,Historical Fiction,90fa61229261140a
Libertarianism for Beginners,51.33,True,19,2,Politics,a18a4f574854aced
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,True,19,1,Science Fiction,e30f54cea9b38190
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,True,19,5,Sequential Art,3b1c02bac2a429e6
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,True,19,3,Music,deda3e61b9514b83
Rip it Up and Start Again,35.02,True,19,5,Music,a34ba96d4081e6a4
Olio,23.88,True,19,1,Poetry,feb7cc7701ecf901
It's Only the Himalayas,45.17,True,19,2,Travel,a22124811bfa8350
Set Me Free,17.46,True,19,5,Young Adult,ce6396b0f23f6ecc
Shakespeare's Sonnets,20.66,True,19,4,Poetry,30a7f60cd76ca58c
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,True,19,2,Default,0312262ecafa5a40
In Her Wake,12.84,True,19,1,Thriller,23356462d1320d61
Aladdin and His Wonderful Lamp,53.13,True,19,3,Default,904208d6aa64b655
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.30,True,18,5,Nonfiction,4c28def39d850cdf
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,True,19,3,Default,c7d160c2c0de586f
Wall and Piece,44.18,True,18,4,Art,ccd9ffa25efabdea
Black Dust,34.53,True,19,5,Romance,00bfed9e18bb36f3
Birdsong: A Story in Pictures,54.64,True,19,3,Childrens,9528d0948525bf5f
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,True,19,3,Default,e72a5dfc7e9267b2
Chase Me (Paris Nights #2),25.27,True,19,5,Romance,c2e46a2ee3b4a322
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,True,19,3,Food and Drink,5674a18a29a43ced
How Music Works,37.32,True,19,2,Music,327f68a59745c102
"In a Dark, Dark Wood",19.63,True,18,1,Mystery,19ed25f4641d5efd
Penny Maybe,33.29,True,18,3,Default,668fe56b17cfcd4f
Maude (1883-1993):She Grew Up with the country,18.02,True,18,2,Default,094b269567e1c300
Sophie's World,15.94,True,18,5,Philosophy,6be3beb0793a53e7
You can't bury them all: Poems,33.63,True,17,2,Poetry,55f9da0c5eea2e10
The Elephant Tree,23.82,True,18,5,Thriller,5dada2b7be26bd03
The Four Agreements: A Practical Guide to Personal Freedom,17.66,True,18,5,Spirituality,6258a1f6a6dcfe50
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,True,18,3,Nonfiction,3c039985229453bf
Behind Closed Doors,52.22,True,18,4,Thriller,be5cc846f45496fb
The Bear and the Piano,36.89,True,18,1,Childrens,9f6568e9c95f60b0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,True,17,5,Nonfiction,c27f6e1f185b0383
Untitled Collection: Sabbath Poems 2014,14.27,True,16,4,Poetry,657fe5ead67a7767
"We Love You, Charlie Freeman",50.27,True,16,5,Fiction,8d455c7539795d2a
Without Borders (Wanderlove #1),45.07,True,16,2,New Adult,acddfeab2a407640
When We Collided,31.77,True,16,1,Contemporary,3ecb690d1542c568
Private Paris (Private #10),47.61,True,17,5,Fiction,b12b89017878a60d
Slow States of Collapse: Poems,57.31,True,17,3,Poetry,b4fd5943413e089a
The Past Never Ends,56.50,True,16,4,Mystery,5ee94540d0749ea0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,True,16,1,Food and Drink,142d767a56a9254d
The Secret of Dreadwillow Carse,56.13,True,16,1,Childrens,b5ea0b5dabed25a8
Thirst,17.27,True,16,5,Fiction,709822d0b5bcb7f4
The Torch Is Passed: A Harding Family Story,19.09,True,16,1,Add a comment,4eed62cf5f8d8edf
This One Summer,19.49,True,16,4,Sequential Art,51653ef291ab7ddc
The Natural History of Us (The Fine Art of Pretending #2),45.22,True,16,3,Young Adult,cedf82b5086e4691
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,True,16,1,History,9a9d6e9bc555731e
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,True,16,1,Sequential Art,09555be379ad9253
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,True,16,4,Nonfiction,d170b5a0da46380e
Unicorn Tracks,18.78,True,16,3,Fantasy,7ae099f3898e0209
The Nameless City (The Nameless City #1),38.16,True,16,4,Sequential Art,7d385d34d12e60ff
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,True,16,1,Nonfiction,a30b270e25489e5c
The Death of Humanity: and the Case for Life,58.11,True,16,4,Philosophy,bd261725b99f5983
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,True,16,3,Health,43c6a960757cf559
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,True,16,1,Nonfiction,acd86a5426e21ca0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,True,16,5,Default,8c9e6bf2467d740d
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,True,16,3,Nonfiction,0da9aa9d24677fc0
Reasons to Stay Alive,26.41,True,17,2,Nonfiction,c8f7f0cb1abb9cac
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,True,16,4,Add a comment,31075275518532d7
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,True,16,4,Science,aadee1c326d286e3
The Murder That Never Was (Forensic Instincts #5),54.11,True,16,3,Fiction,d01ac97e2b8947c2
Security,39.25,True,16,2,Horror,6f78a0d744c35456
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,True,16,3,Fantasy,c849f0b2f5d6a742
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,True,16,3,Nonfiction,7858914fad68493c
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,True,16,2,Nonfiction,d7310206583a54b6
Soul Reader,39.58,True,16,2,Default,e6af5bf1163c1151
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,True,16,3,Sequential Art,c82a3e358c773c73
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,True,16,2,Sequential Art,53a3d11bb568cc8b
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,True,16,5,Spirituality,7d6d2a6c0276f81b
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,True,16,1,History,a3d2a4250807f1e9
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,True,16,4,Nonfiction,87b0615b6e1f4d7b
The Art Forger,40.76,True,16,3,Add a comment,80cfab6bcff3a244
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,True,16,5,Sequential Art,0fa6dceead7ce47a
Obsidian (Lux #1),14.86,True,16,2,Young Adult,3c346ab1e76ae1f6
On a Midnight Clear,14.07,True,16,3,Add a comment,b757c0c361e689ce
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,True,16,1,Sequential Art,11809b1d323b3057
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,True,16,1,Self Help,9ffa38d3b832433a
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,True,16,4,Sequential Art,889139b8e9c4cb36
Patience,10.16,True,16,3,Sequential Art,9429b4d59c537af5
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,True,16,2,History,7392c0032f92d816
"Pop Gun War, Volume 1: Gift",18.97,True,16,1,Sequential Art,e80f8e518b300dfe
Princess Between Worlds (Wide-Awake Princess #5),13.34,True,16,5,Fantasy,0e691eda369f4e09
In the Country We Love: My Family Divided,22.00,True,16,4,Nonfiction,b136b1b180ca753a
Join,35.67,True,16,5,Science Fiction,18ad3ed896c7ce05
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,True,16,2,Add a comment,228f74b74f3a08ae
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,True,16,2,Sequential Art,57e5a4d515c8ce44
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,True,16,1,Food and Drink,7b75cc7f223791f4
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,True,16,3,Sequential Art,b6ee99bcf06fc91f
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,True,16,2,Sequential Art,460089f796fb3f82
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,True,16,4,Food and Drink,72f9d5be3472d34e
Masks and Shadows,56.40,True,16,2,Fantasy,fa9610a50a1bf149
My Paris Kitchen: Recipes and Stories,33.37,True,16,2,Food and Drink,784bc2279baa878d
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,True,16,5,Science,e4f74c16de34d440
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,True,16,2,Nonfiction,311c0dd0e354a33e
Fifty Shades Darker (Fifty Shades #2),21.96,True,16,1,Romance,7add3f8e49ec0826
First and First (Five Boroughs #3),15.97,True,16,4,Romance,9e28048cea8d41f7
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,True,16,3,Historical Fiction,9beb96a2300109d7
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,True,16,2,Sequential Art,f2df3bb043a8abb0
Her Backup Boyfriend (The Sorensen Family #1),33.97,True,16,1,Romance,2a97cffe61c3c4c7
How to Be Miserable: 40 Strategies You Already Use,46.03,True,16,1,Self Help,a6f99b9e687f9d46
I am a Hero Omnibus Volume 1,54.63,True,16,3,Sequential Art,1c89ae5bb804e4de
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,True,16,2,Sequential Art,8d4eefad7a2b3915
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,True,16,2,Fantasy,6d5300b2d8f37e07
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,True,16,2,Sequential Art,bdf415fd484ea8a7
Bossypants,49.46,True,16,2,Default,74baabfc8fd84b38
Burning,28.81,True,16,3,Young Adult,5ceb951f629700a2
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,True,16,5,Nonfiction,bee3672891cca906
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,True,16,4,Sequential Art,8754c83ab2a7ae71
Crown of Midnight (Throne of Glass #2),43.29,True,16,3,Fantasy,7267864328ae8b9d
Danganronpa Volume 1,51.99,True,16,4,Sequential Art,09b6cc87e62c2c58
Camp Midnight,17.08,True,16,4,Sequential Art,7b599c8bfcdd8d30
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,True,16,2,Religion,fce19f9b4a943f22
Algorithms to Live By: The Computer Science of Human Decisions,30.81,True,16,1,Nonfiction,38d45839cb1c83c1
(Un)Qualified: How God Uses Broken People to Do Big Things,54.00,True,16,5,Christian,e4ac92d89b946781
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,True,16,1,Fantasy,01d2001ac1e6f8a3
A Fierce and Subtle Poison,28.13,True,16,4,Young Adult,842790dfaa937484
A Flight of Arrows (The Pathfinders #2),55.53,True,16,5,Historical Fiction,3a6fb983e2554023
A Murder in Time,16.64,True,16,1,Mystery,f733e8c19d40ec2e
A World of Flavor: Your Gluten Free Passport,42.95,True,16,1,Default,70ed59f194b3c556
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,True,16,5,Default,8a380641491d43ed
Thirteen Reasons Why,52.72,True,15,1,Default,bc2a85fd35fdc7bd
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,True,15,1,History,de3f25248ba0789f
Throne of Glass (Throne of Glass #1),35.07,True,15,3,Fantasy,590a9cccf7db9f7d
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,True,15,5,Business,3bebf34ee9330cbd
The Vacationers,42.15,True,15,4,Fiction,fd3a622648667296
The Stranger,17.44,True,15,4,Philosophy,f5a92cff83897d48
The Wedding Dress,24.12,True,15,1,Romance,623e1a180426039b
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,True,15,4,Childrens,37c0cb19713d8dda
Tracing Numbers on a Train,41.60,True,15,3,Default,d7d6d50c1e3d0b81
Tuesday Nights in 1980,21.04,True,15,2,Fiction,b8736690cf263a3c
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.30,True,15,4,Science Fiction,9270575728a13a61
You Are What You Love: The Spiritual Power of Habit,21.87,True,15,4,Religion,796c87ddbbaaf8c5
The Shadow Hero (The Shadow Hero),33.14,True,15,1,Sequential Art,d6361d16212664ed
The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,True,15,4,Mystery,c7b5183f4d1d4efe
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,True,15,5,Food and Drink,e4c7f3487d17fd42
The Psychopath Test: A Journey Through the Madness Industry,36.00,True,15,2,Default,e98a4efa85070c2f
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,True,15,2,Nonfiction,209adad1015af86f
The Regional Office Is Under Attack!,51.36,True,15,5,Fiction,0651062381f0636a
The Power of Now: A Guide to Spiritual Enlightenment,43.54,True,15,2,Nonfiction,8ec14b1576cb7cb5
The Project,10.65,True,15,1,Science Fiction,790ef197c8f236f5
The Secret (The Secret #1),27.37,True,15,4,Default,961f18db4f138211
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,True,15,1,Food and Drink,96a38e7c813d8f1d
The Emerald Mystery,23.15,True,15,2,Default,d6670dfe3e7b42bd
The Girl on the Train,55.02,True,15,2,Default,e956d67c9bcc5809
The Genius of Birds,17.24,True,15,1,Nonfiction,42d0d7c92b75fc1c
The House by the Lake,36.95,True,15,1,Historical Fiction,9287e238d7c3b06e
The Glittering Court (The Glittering Court #1),44.28,True,15,1,Fantasy,2dbb7ec08cdd7f3c
The Mistake (Off-Campus #2),43.29,True,15,3,New Adult,99ff4cc6491e8f5c
The Kite Runner,41.82,True,15,4,Default,eac1a180047ad54e
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,True,15,1,New Adult,08db62f24627e71f
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,True,15,1,Crime,abeafe151a587d3b
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,True,15,3,Default,efc3768127714ec3
So You've Been Publicly Shamed,12.23,True,15,2,Nonfiction,1b33663ad7b95fd8
Soft Apocalypse,26.12,True,15,2,Science Fiction,2a70769cdc6eb8b8
Suddenly in Love (Lake Haven #1),55.99,True,15,2,Romance,203b7f94b7d6115f
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,True,15,3,Business,56e4f9eab2e8e674
Something More Than This,16.24,True,15,4,Romance,ca71e72655bece85
The Argonauts,10.93,True,15,2,Autobiography,c99761a700ade23f
The Art of War,33.34,True,15,5,Default,e7469e22b5bfb3e7
Night Sky with Exit Wounds,41.05,True,15,1,Poetry,cfeb1e1e0e695b58
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,True,15,5,Nonfiction,dd047728de72ad62
"Nightingale, Sing",38.28,True,15,1,Young Adult,50b8f80311b31ede
Mrs. Houdini,30.25,True,15,5,Historical Fiction,a40723994f715420
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,True,15,1,Default,d9c643fa1fc57bdb
Poems That Make Grown Women Cry,14.19,True,15,4,Poetry,31001a1210623bd4
Redeeming Love,20.47,True,15,5,Christian Fiction,b53db2271c9624f7
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,True,15,1,Default,e656e280bc8edd56
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.60,True,15,2,Food and Drink,e28e330cbdf01126
Scarlett Epstein Hates It Here,43.55,True,15,5,Young Adult,1c929cfd16b71907
Secrets and Lace (Fatal Hearts #1),20.27,True,15,1,Default,ad04ad9fc179fc5d
"Shobu Samurai, Project Aryoku (#3)",29.06,True,15,3,Add a comment,0c27e6c3744fc14b
First Steps for New Christians (Print Edition),29.00,True,15,1,Default,2f88b08bf0a0e367
Follow You Home,21.36,True,15,1,Horror,8585760646e3aa2a
Shoe Dog: A Memoir by the Creator of NIKE,23.99,True,15,2,Business,0e0dcc3339602b28
Finders Keepers (Bill Hodges Trilogy #2),53.53,True,15,5,Fiction,edb3097e71330040
Frostbite (Vampire Academy #2),29.99,True,15,5,Young Adult,116a2fdc9a45bab0
Modern Romance,28.26,True,15,5,Add a comment,caf4fe9311f1dc59
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,True,15,1,Fantasy,4ce91d31c1e57c33
Grumbles,22.16,True,15,2,Default,d163dd6c352fbcd2
Large Print Heart of the Pride,19.15,True,15,2,Default,c1afd71fc86bf682
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,True,15,5,Young Adult,ba54932df84e8cea
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,True,15,4,Travel,ce60436f52c5ee68
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,True,15,4,Sequential Art,65d034adf80834b7
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,True,15,3,Food and Drink,46c1530d7546ea6d
Doing It Over (Most Likely To #1),35.61,True,15,3,Romance,3a11bb962ff45b78
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,True,15,4,Womens Fiction,fd8585283fc7d2d7
Little Red,13.47,True,15,3,Childrens,4aa03792b50f0b22
Done Rubbed Out (Reightman & Bailey #1),37.72,True,15,5,Default,f6d967cdadc6fbd9
Drive: The Surprising Truth About What Motivates Us,34.95,True,15,4,Default,6ffb36aaeff1c81e
Eureka Trivia 6.0,54.59,True,15,4,Default,29c0025455f8c585
Louisa: The Extraordinary Life of Mrs. Adams,16.85,True,15,2,Biography,d69dd8dac66f9f84
Dark Notes,19.19,True,15,5,Erotica,88c21fcd38e2486e
Batman: The Long Halloween (Batman),36.50,True,15,2,Sequential Art,7edc0527cf782e19
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,True,15,2,Nonfiction,919e7cb2269a25d2
Beauty Restored (Riley Family Legacy Novellas #3),11.11,True,15,2,Default,3f69e667a67e54d9
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,True,15,1,Default,af96613fdd793a3c
Big Magic: Creative Living Beyond Fear,30.80,True,15,3,Nonfiction,1f329c2e7d7de8bd
Chasing Heaven: What Dying Taught Me About Living,37.80,True,15,2,Spirituality,513271dadc1322ae
Close to You,49.46,True,15,4,Christian Fiction,a57b1dcbd6849222
You (You #1),43.61,True,14,5,Thriller,024387ca4cafd5cc
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,True,14,4,Sequential Art,047097293bb4d1c0
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,True,14,4,Politics,2b5054a4192e9b06
Agnostic: A Spirited Manifesto,12.51,True,15,5,Nonfiction,d195e7f4ed697350
Wild Swans,14.36,True,14,2,Young Adult,3fb15ace50d6142b
Zealot: The Life and Times of Jesus of Nazareth,24.70,True,14,3,History,dd5bfa6cc2c0ecc3
Amy Meets the Saints and Sages,18.46,True,15,3,Default,7ebfa6c1bee69e1e
Amid the Chaos,36.58,True,15,1,Cultural,bb8245f52c7cce8f
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,True,15,3,Nonfiction,3b9a3b4624b7fd6d
Ayumi's Violin,15.48,True,15,2,Default,05f7c6d9a4e582d3
Amatus,50.54,True,15,5,Default,ffd54178acc9a6a5
Batman: The Dark Knight Returns (Batman),15.38,True,15,5,Sequential Art,47271d8e08b5d31c
Anonymous,46.82,True,15,4,Default,d24b829be2ca81c4
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.20,True,14,4,Nonfiction,44a10f1ac8ce822e
Through the Woods,25.38,True,14,2,Sequential Art,6e44bcbeac7f4360
Until Friday Night (The Field Party #1),46.31,True,14,2,Young Adult,aba2db9afb1469c7
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.90,True,14,1,Sequential Art,92275cedf6d8ee15
Walt Disney's Alice in Wonderland,12.96,True,14,5,Childrens,6a31307a81e8f3a8
Twenty Yawns,22.08,True,14,2,Childrens,1d6443ffba9dfd80
V for Vendetta (V for Vendetta Complete),37.10,True,14,4,Default,4a1debca3135ff37
What's It Like in Space?: Stories from Astronauts Who've Been There,19.60,True,14,2,Nonfiction,6fd646a334e6e133
The Star-Touched Queen,46.02,True,14,5,Fantasy,1528279aec1f3dce
The Rosie Project (Don Tillman #1),54.04,True,14,1,Default,012094e90a4b908d
The Song of Achilles,37.40,True,14,5,Add a comment,e88fb1c9397cfb27
The Time Keeper,27.88,True,14,5,Fiction,e9906e2f0d189745
The Songs of the Gods,44.48,True,14,5,Default,00c4543ec6bd25b4
The Testament of Mary,52.67,True,14,4,Fiction,081305e6df719dff
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,True,14,2,Default,76c84daa539426e2
